TEMPO_SWATH_POINT product,TEMPO_SWATH_POINT start time,TEMPO_SWATH_POINT end time,TEMPO_SWATH_POINT duration,TEMPO_SWATH_POINT product type,TEMPO_SWATH_POINT product path,(bl lat. bl lon),(tl lat. tl lon),(tr lat. tr lon),(br lat. br lon),segment_id
CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_+2200000__+100000___V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/ANTARCTIC/CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_+2200000__+100000___V202.nc,(-69.93050384521484. 87.3974380493164),(-69.86974334716797. 84.80557250976562),(-68.98111724853516. 85.03025817871094),(-69.0390853881836. 87.51044464111328),1
CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_-1800000__+800000___V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/ANTARCTIC/CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_-1800000__+800000___V202.nc,(-72.01409149169922. -66.03751373291016),(-71.630615234375. -63.4349479675293),(-72.42984008789062. -62.10272979736328),(-72.83231353759766. -64.79887390136719),2
CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_-1100000__+300000___V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/ANTARCTIC/CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_-1100000__+300000___V202.nc,(-79.53423309326172. -74.74488067626953),(-79.25769805908203. -70.01689147949219),(-80.1109848022461. -68.19859313964844),(-80.41262817382812. -73.3007583618164),3
CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_+500000___+1700000__V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/ANTARCTIC/CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_+500000___+1700000__V202.nc,(-73.79559326171875. 16.38953971862793),(-72.928466796875. 15.524110794067383),(-72.66539001464844. 18.434947967529297),(-73.51788330078125. 19.440034866333008),4
CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_+400000___-1700000__V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/ANTARCTIC/CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_+400000___-1700000__V202.nc,(-74.0265884399414. 166.7594757080078),(-74.90532684326172. 165.96376037597656),(-74.66043853759766. 162.64598083496094),(-73.79559326171875. 163.61045837402344),5
CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_-1700000__+400000___V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/ANTARCTIC/CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_-1700000__+400000___V202.nc,(-74.0265884399414. -76.75948333740234),(-73.79559326171875. -73.61045837402344),(-74.66043853759766. -72.6459732055664),(-74.90532684326172. -75.96375274658203),6
CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_+400000___-1600000__V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/ANTARCTIC/CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_+400000___-1600000__V202.nc,(-74.90532684326172. 165.96376037597656),(-75.78253173828125. 165.06858825683594),(-75.52215576171875. 161.56504821777344),(-74.66043853759766. 162.64598083496094),7
CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_+500000___-1900000__V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/ANTARCTIC/CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_+500000___-1900000__V202.nc,(-72.05978393554688. 165.25643920898438),(-72.928466796875. 164.47589111328125),(-72.66539001464844. 161.56504821777344),(-71.81000518798828. 162.47442626953125),8
CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_-2600000__+1300000__V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/ANTARCTIC/CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_-2600000__+1300000__V202.nc,(-63.6991081237793. -63.4349479675293),(-63.2964973449707. -61.69924545288086),(-64.0629653930664. -60.75117492675781),(-64.47935485839844. -62.525569915771484),9
CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_+400000___-1800000__V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/ANTARCTIC/CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_+400000___-1800000__V202.nc,(-73.1469497680664. 167.47119140625),(-74.0265884399414. 166.7594757080078),(-73.79559326171875. 163.61045837402344),(-72.928466796875. 164.47589111328125),10
